Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado,partner_law_firm,lawyer_name,policy_recommendation,reasoning_code,lawyer_decision,is_override,override_reason,settlement_target_value,settlement_final_value,settlement_status,is_loss,log_cause_value,critical_docs_count,missing_power_pair
1097071-70.2025.8.01.9854,AC,Não reconhece operação,Genérico,Êxito,Improcedência,11273.49,0.0,1,1,1,0,0,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.33029793053188,3,0
4430314-14.2025.8.16.1261,PR,Não reconhece operação,Genérico,Êxito,Improcedência,17502.07,0.0,1,1,0,0,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,9.770131573097242,2,0
5884632-73.2025.8.03.2202,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,14914.53,14914.53,0,1,0,0,1,0,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5321.57,ACEITO,1,9.61015823101412,1,0
1302913-12.2025.8.16.5868,PR,Não reconhece operação,Golpe,Êxito,Improcedência,8198.54,0.0,1,1,0,1,0,0,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,3689.34,4427.21,CONTRA_PROPOSTA,0,9.011833334117842,2,0
9474999-58.2025.8.03.6927,AP,Não reconhece operação,Golpe,Êxito,Improcedência,16584.47,0.0,1,1,0,1,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Estratégia de sustentação oral com precedentes favoráveis na turma recursal,,,NA,0,9.71628228984003,2,0
5979843-18.2025.8.21.3719,RS,Não reconhece operação,Golpe,Êxito,Extinção,12122.56,0.0,1,1,1,0,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.402905945866216,3,0
2156698-46.2025.8.15.4646,PB,Não reconhece operação,Golpe,Êxito,Extinção,4776.11,0.0,1,1,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,2149.25,2224.53,ACEITO,0,8.47159104012924,2,0
7871969-77.2025.8.02.7009,AL,Não reconhece operação,Golpe,Êxito,Improcedência,21522.16,0.0,1,1,1,0,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.976884843644461,3,0
6235579-60.2025.8.11.5969,MT,Não reconhece operação,Golpe,Êxito,Improcedência,12336.48,0.0,1,0,0,1,0,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,0.0,RECUSADO,0,9.420397062666462,1,0
8137520-78.2025.8.03.4203,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12781.04,11630.746400000002,1,0,0,1,1,0,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5076.57,ACEITO,1,9.455796339606051,1,0
2902111-74.2025.8.01.8539,AC,Não reconhece operação,Genérico,Êxito,Improcedência,16858.28,0.0,1,1,0,0,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,ML_ZONA_CINZENTA_RISCO_CONTROLADO,DEFESA,False,,,,NA,0,9.732656526017644,2,0
9782662-27.2025.8.27.3400,TO,Não reconhece operação,Genérico,Êxito,Improcedência,19409.98,0.0,1,1,1,1,0,0,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.87359416432694,3,0
4548659-58.2025.8.09.6875,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18582.19,11520.957799999998,0,0,1,1,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,POWER_PAIR_AUSENTE,DEFESA,True,Estratégia de sustentação oral com precedentes favoráveis na turma recursal,,,NA,1,9.830012687620025,1,1
9218753-63.2025.8.18.3196,PI,Não reconhece operação,Golpe,Êxito,Improcedência,10823.18,0.0,1,1,1,1,1,0,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,ACORDO,True,Contrato digital com IP divergente da residência do autor,4870.43,0.0,RECUSADO,0,9.289537799424103,3,0
5905205-00.2025.8.11.6817,MT,Não reconhece operação,Genérico,Êxito,Extinção,24604.96,0.0,1,1,1,1,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,10.110743968999026,3,0
1133196-60.2025.8.25.1741,SE,Não reconhece operação,Golpe,Êxito,Extinção,16926.34,0.0,1,1,0,1,0,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,DEFESA,True,Divergência grosseira na assinatura mesmo sem laudo formal,,,NA,0,9.736685345240103,2,0
3112745-09.2025.8.18.2946,PI,Não reconhece operação,Genérico,Êxito,Improcedência,13755.08,0.0,1,1,1,1,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.529236187179329,3,0
5718002-81.2025.8.21.9700,RS,Não reconhece operação,Golpe,Êxito,Extinção,6877.09,0.0,1,1,0,0,0,0,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,3094.69,3226.43,ACEITO,0,8.836096276105787,2,0
5495696-61.2025.8.25.5194,SE,Não reconhece operação,Golpe,Êxito,Extinção,18989.3,0.0,1,1,1,1,1,1,Albuquerque & Castro Sociedade de Advogados,Dr. Roberto Albuquerque,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.851683601469857,3,0
7864461-54.2025.8.02.8386,AL,Não reconhece operação,Golpe,Êxito,Extinção,19057.93,0.0,1,1,0,0,1,0,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5272.97,ACEITO,0,9.855291037122399,2,0
9860562-22.2025.8.07.6687,DF,Não reconhece operação,Golpe,Êxito,Extinção,4057.24,0.0,1,1,1,1,1,0,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,DEFESA,CADEIA_COMPLETA,ACORDO,True,Autor inflexível recusou teto de alçada inicial,1825.76,0.0,RECUSADO,0,8.308504661071613,3,0
9320190-71.2025.8.05.3909,BA,Não reconhece operação,Golpe,Êxito,Improcedência,9436.85,0.0,1,1,1,0,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.152483478962324,3,0
9434979-02.2025.8.14.6632,PA,Não reconhece operação,Golpe,Êxito,Improcedência,10808.87,0.0,0,1,1,0,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,4863.99,4951.68,ACEITO,0,9.288214884659,2,0
6046577-88.2025.8.22.6237,RO,Não reconhece operação,Golpe,Êxito,Improcedência,17723.51,0.0,1,1,1,1,0,1,Moreira & Guimarães Consultoria Jurídica,Dr. Carlos Eduardo Moreira,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.782703706448393,3,0
1199164-99.2025.8.27.0740,TO,Não reconhece operação,Golpe,Êxito,Improcedência,13783.38,0.0,1,1,1,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.531291346022778,3,0
8338223-54.2025.8.07.2542,DF,Não reconhece operação,Golpe,Êxito,Improcedência,9762.83,0.0,1,1,1,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.186440020464106,3,0
7143801-66.2025.8.07.0333,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18287.36,7680.6912,1,1,0,0,1,0,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5066.95,ACEITO,1,9.814020070880215,2,0
4938456-14.2025.8.17.1215,PE,Não reconhece operação,Golpe,Êxito,Improcedência,12831.68,0.0,1,1,0,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5223.64,ACEITO,0,9.459750321220945,2,0
3922094-94.2025.8.03.0482,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,12175.44,10105.6152,0,1,0,1,0,0,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5254.28,ACEITO,1,9.40725821611084,1,0
5739467-03.2025.8.13.2020,MG,Não reconhece operação,Golpe,Não Êxito,Procedência,12014.55,10452.6585,0,0,0,1,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,POWER_PAIR_AUSENTE,ACORDO,False,,5329.18,5091.95,ACEITO,1,9.393956923236066,0,1
6685535-66.2025.8.22.6603,RO,Não reconhece operação,Genérico,Êxito,Improcedência,20597.08,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.932953146550426,3,0
7476353-58.2025.8.18.3959,PI,Não reconhece operação,Genérico,Êxito,Extinção,21361.91,0.0,1,1,1,0,1,0,Pinheiro & Associados Advogados,Dr. Lucas Ramos,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,9.969411519749912,3,0
1894310-05.2025.8.24.1072,SC,Não reconhece operação,Golpe,Êxito,Extinção,6936.2,0.0,1,1,0,1,0,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,3121.29,3250.44,ACEITO,0,8.84465351387643,2,0
7458528-34.2025.8.14.8058,PA,Não reconhece operação,Golpe,Êxito,Improcedência,14552.55,0.0,1,1,0,1,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5349.87,ACEITO,0,9.585590229094128,2,0
9170340-97.2025.8.05.7106,BA,Não reconhece operação,Golpe,Êxito,Extinção,16313.07,0.0,0,1,0,0,1,1,Vasconcelos Contencioso Bancário,Dra. Fernanda Vasconcelos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,5207.62,ACEITO,0,9.699783204644504,1,0
1184323-82.2025.8.05.6604,BA,Não reconhece operação,Genérico,Êxito,Improcedência,18216.63,0.0,1,1,0,0,1,1,Pinheiro & Associados Advogados,Dr. Lucas Ramos,ACORDO,ML_ZONA_CINZENTA_RISCO_ALTO,ACORDO,False,,5329.18,0.0,RECUSADO,0,9.810145085514584,2,0
7891309-18.2025.8.24.1638,SC,Não reconhece operação,Golpe,Êxito,Improcedência,5178.73,0.0,1,1,1,1,1,1,"Carvalho, Dias & Silva Advogados",Dra. Juliana Mendes,DEFESA,CADEIA_COMPLETA,DEFESA,False,,,,NA,0,8.552508210342925,3,0
