Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização,Contrato,Extrato,Comprovante de crédito,Dossiê,Demonstrativo de evolução da dívida,Laudo referenciado
1705371-29.2025.8.27.4046,TO,Não reconhece operação,Genérico,Êxito,Extinção,13993.67,0.0,1,1,1,1,1,1
3721011-50.2025.8.15.2861,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18933.23,15714.580899999999,0,0,1,1,1,1
8617279-97.2025.8.22.8064,RO,Não reconhece operação,Genérico,Êxito,Improcedência,15076.22,0.0,1,1,1,1,1,1
1662410-11.2025.8.24.4542,SC,Não reconhece operação,Genérico,Êxito,Improcedência,14534.37,0.0,1,1,1,1,1,1
4026624-31.2025.8.22.1792,RO,Não reconhece operação,Golpe,Êxito,Improcedência,13469.64,0.0,1,1,1,1,0,1
5251526-91.2025.8.09.2896,GO,Não reconhece operação,Golpe,Êxito,Improcedência,9403.04,0.0,1,1,1,1,1,1
5773579-66.2025.8.04.4818,AM,Não reconhece operação,Genérico,Êxito,Improcedência,21600.67,0.0,1,1,0,1,1,1
3656834-22.2025.8.24.2197,SC,Não reconhece operação,Golpe,Êxito,Improcedência,9067.98,0.0,1,1,1,0,0,1
5789460-44.2025.8.12.2199,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13191.32,5672.2676,0,0,0,1,1,1
7540322-78.2025.8.03.1424,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,8473.99,8389.2501,0,0,1,1,1,1
1362742-24.2025.8.14.0064,PA,Não reconhece operação,Golpe,Êxito,Extinção,19825.47,0.0,1,1,1,1,0,1
2764286-90.2025.8.21.0001,RS,Não reconhece operação,Golpe,Êxito,Improcedência,16561.52,0.0,1,1,1,1,1,1
4712696-63.2025.8.18.3120,PI,Não reconhece operação,Genérico,Êxito,Improcedência,15246.97,0.0,1,1,0,1,1,1
4524835-21.2025.8.18.3078,PI,Não reconhece operação,Genérico,Não Êxito,Procedência,16455.3,14480.663999999999,0,0,0,1,1,0
3773178-75.2025.8.15.4665,PB,Não reconhece operação,Golpe,Êxito,Improcedência,18967.26,0.0,1,1,1,1,1,1
1320040-56.2025.8.25.3997,SE,Não reconhece operação,Genérico,Êxito,Improcedência,11683.6,0.0,1,1,1,1,1,1
4599213-13.2025.8.22.0790,RO,Não reconhece operação,Genérico,Êxito,Improcedência,16796.47,0.0,1,1,0,1,1,1
3409221-70.2025.8.26.5645,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,11053.95,7516.686000000001,1,1,0,0,0,1
1957836-06.2025.8.06.9082,CE,Não reconhece operação,Golpe,Êxito,Extinção,7681.69,0.0,1,1,1,0,1,1
2130151-67.2025.8.20.4094,RN,Não reconhece operação,Golpe,Êxito,Improcedência,9170.48,0.0,1,1,1,1,1,1
6181746-73.2025.8.14.0772,PA,Não reconhece operação,Golpe,Êxito,Extinção,12181.0,0.0,1,1,1,1,1,1
6666499-30.2025.8.22.3449,RO,Não reconhece operação,Golpe,Êxito,Improcedência,22634.6,0.0,1,1,1,0,1,1
7546989-24.2025.8.08.5573,ES,Não reconhece operação,Golpe,Êxito,Improcedência,18780.91,0.0,1,1,1,1,0,1
4350851-04.2025.8.12.7193,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20088.03,14262.501299999998,0,0,0,0,1,1
7910769-97.2025.8.25.7890,SE,Não reconhece operação,Golpe,Não Êxito,Procedência,7595.9,6532.473999999999,1,0,1,1,1,1
1008972-24.2025.8.13.8620,MG,Não reconhece operação,Genérico,Êxito,Improcedência,12744.24,0.0,1,1,1,1,1,1
8282611-64.2025.8.06.9805,CE,Não reconhece operação,Golpe,Êxito,Improcedência,12928.27,0.0,1,1,0,1,0,1
4312206-10.2025.8.06.2703,CE,Não reconhece operação,Golpe,Êxito,Improcedência,18582.69,0.0,1,1,1,1,1,1
6748688-32.2025.8.27.8300,TO,Não reconhece operação,Genérico,Êxito,Improcedência,14273.08,0.0,1,1,1,1,1,0
9052452-50.2025.8.19.4241,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,7866.77,0.0,1,1,1,1,1,1
9204861-00.2025.8.18.8476,PI,Não reconhece operação,Genérico,Êxito,Improcedência,5663.93,0.0,1,1,0,1,0,1
2598202-19.2025.8.03.9754,AP,Não reconhece operação,Golpe,Êxito,Improcedência,22634.78,0.0,1,1,1,0,1,1
6541503-08.2025.8.05.4378,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12717.0,7503.03,0,0,0,0,1,1
4009606-91.2025.8.14.9144,PA,Não reconhece operação,Genérico,Êxito,Improcedência,25624.0,0.0,1,1,0,0,1,1
4576772-12.2025.8.03.3266,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,3090.34,2997.6298,0,1,1,0,0,0
9722896-41.2025.8.04.3052,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19532.65,14454.161,1,1,1,1,1,1
9387932-09.2025.8.12.7231,MS,Não reconhece operação,Genérico,Êxito,Improcedência,18377.03,0.0,1,1,0,1,1,0
7215531-67.2025.8.16.7684,PR,Não reconhece operação,Genérico,Êxito,Improcedência,14938.54,0.0,1,1,1,0,1,1
5318301-22.2025.8.03.3252,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,10591.86,9214.9182,0,1,0,1,1,0
1093277-35.2025.8.14.7891,PA,Não reconhece operação,Genérico,Êxito,Improcedência,17365.24,0.0,1,1,1,0,1,1
5144643-82.2025.8.14.5934,PA,Não reconhece operação,Golpe,Êxito,Extinção,22977.4,0.0,1,1,1,1,1,0
8155886-12.2025.8.26.1011,SP,Não reconhece operação,Golpe,Êxito,Improcedência,12756.57,0.0,1,1,0,1,1,1
7711590-76.2025.8.17.0098,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,20511.98,10461.1098,0,0,0,0,0,0
5669449-81.2025.8.08.8826,ES,Não reconhece operação,Golpe,Êxito,Improcedência,18129.88,0.0,1,1,1,1,1,1
5058580-04.2025.8.06.4061,CE,Não reconhece operação,Golpe,Êxito,Improcedência,14368.75,0.0,1,1,1,1,1,0
6408744-67.2025.8.09.5014,GO,Não reconhece operação,Genérico,Êxito,Improcedência,21861.45,0.0,1,1,0,0,1,1
3192668-00.2025.8.07.9210,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19278.71,9446.5679,1,1,0,0,0,1
9119264-30.2025.8.15.8385,PB,Não reconhece operação,Golpe,Êxito,Extinção,13042.09,0.0,1,1,0,1,1,1
6870651-13.2025.8.02.1306,AL,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,12786.16,5625.9104,0,0,0,0,1,1
9648019-60.2025.8.19.3324,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,17524.5,0.0,1,1,1,1,1,1
2104348-20.2025.8.07.0700,DF,Não reconhece operação,Golpe,Êxito,Extinção,17109.2,0.0,1,1,0,0,1,0
3223394-02.2025.8.16.9886,PR,Não reconhece operação,Golpe,Êxito,Improcedência,15216.93,0.0,1,1,1,1,1,1
2855675-42.2025.8.15.3403,PB,Não reconhece operação,Genérico,Êxito,Improcedência,19721.08,0.0,1,1,1,1,1,1
4423093-46.2025.8.22.5884,RO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,23462.55,13373.653499999999,0,0,1,1,0,0
6619097-68.2025.8.05.2253,BA,Não reconhece operação,Genérico,Êxito,Improcedência,15361.88,0.0,1,1,0,1,0,1
5748623-51.2025.8.07.3782,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13987.39,4895.586499999999,0,0,0,1,1,1
9562256-85.2025.8.27.0010,TO,Não reconhece operação,Genérico,Êxito,Extinção,13245.49,0.0,1,1,0,1,0,1
2092690-13.2025.8.03.7344,AP,Não reconhece operação,Golpe,Êxito,Improcedência,20957.96,0.0,1,1,1,1,1,0
2499237-26.2025.8.05.0781,BA,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,14017.12,12054.7232,0,0,0,1,1,1
2295899-95.2025.8.07.9626,DF,Não reconhece operação,Golpe,Êxito,Extinção,22262.81,0.0,0,1,1,1,1,1
8156412-02.2025.8.13.6492,MG,Não reconhece operação,Golpe,Êxito,Extinção,3083.93,0.0,1,1,0,1,1,1
5426646-20.2025.8.17.5719,PE,Não reconhece operação,Golpe,Êxito,Improcedência,24208.29,0.0,1,1,1,1,0,1
5075069-69.2025.8.17.1633,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,17169.27,14593.8795,1,1,0,1,1,1
3174070-25.2025.8.19.2890,RJ,Não reconhece operação,Genérico,Não Êxito,Procedência,10421.72,8545.810399999998,1,1,0,1,1,1
9106848-36.2025.8.07.5120,DF,Não reconhece operação,Golpe,Êxito,Improcedência,17908.72,0.0,1,1,1,1,1,1
6064314-43.2025.8.19.3181,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9707.58,5145.017400000001,0,0,0,1,0,1
2901259-47.2025.8.20.7535,RN,Não reconhece operação,Genérico,Êxito,Improcedência,15267.0,0.0,0,1,1,1,0,0
3145201-96.2025.8.11.4405,MT,Não reconhece operação,Genérico,Êxito,Improcedência,10309.39,0.0,1,1,1,1,1,1
2234644-98.2025.8.01.1734,AC,Não reconhece operação,Golpe,Êxito,Extinção,11704.3,0.0,1,1,1,1,0,1
2411132-96.2025.8.05.9984,BA,Não reconhece operação,Golpe,Êxito,Improcedência,13695.94,0.0,1,1,1,1,1,1
5836719-92.2025.8.22.1985,RO,Não reconhece operação,Genérico,Êxito,Extinção,14655.08,0.0,1,1,1,1,0,1
9200622-46.2025.8.24.8758,SC,Não reconhece operação,Genérico,Êxito,Extinção,25877.27,0.0,1,1,1,0,1,0
6351879-29.2025.8.24.2634,SC,Não reconhece operação,Golpe,Êxito,Extinção,11913.06,0.0,1,1,1,0,1,0
9633172-07.2025.8.07.2956,DF,Não reconhece operação,Golpe,Não Êxito,Procedência,18428.92,17138.8956,0,1,0,1,0,0
8450454-77.2025.8.06.3838,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,22478.3,18656.988999999998,1,1,0,1,1,1
7150608-87.2025.8.26.2610,SP,Não reconhece operação,Genérico,Êxito,Improcedência,21665.13,0.0,0,1,0,1,1,0
4989241-53.2025.8.01.3447,AC,Não reconhece operação,Golpe,Êxito,Improcedência,17997.83,0.0,1,1,0,1,1,1
2157624-82.2025.8.14.8220,PA,Não reconhece operação,Golpe,Êxito,Improcedência,8330.18,0.0,1,1,1,1,0,1
6637855-37.2025.8.01.0942,AC,Não reconhece operação,Golpe,Êxito,Improcedência,24430.73,0.0,1,1,1,1,1,1
3329364-21.2025.8.26.2435,SP,Não reconhece operação,Genérico,Êxito,Improcedência,4692.36,0.0,1,1,1,1,0,1
1713614-73.2025.8.14.7315,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,19737.81,10461.0393,0,0,0,1,1,0
5317726-68.2025.8.03.3246,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,11568.97,9717.934799999999,0,0,1,1,1,1
7987885-20.2025.8.08.4494,ES,Não reconhece operação,Golpe,Êxito,Improcedência,19660.14,0.0,1,1,0,1,1,1
6527444-77.2025.8.10.4318,MA,Não reconhece operação,Golpe,Êxito,Improcedência,17437.18,0.0,1,1,0,0,1,1
9291162-38.2025.8.05.5237,BA,Não reconhece operação,Genérico,Êxito,Extinção,9197.39,0.0,1,1,1,1,1,1
9406663-36.2025.8.24.3357,SC,Não reconhece operação,Genérico,Não Êxito,Procedência,16258.96,15283.422399999998,0,0,1,0,1,1
6654950-80.2025.8.01.1337,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,7066.75,4522.72,1,0,0,0,1,0
3375089-12.2025.8.15.6425,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,16026.8,7212.0599999999995,0,1,0,0,1,0
5614124-40.2025.8.15.8133,PB,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,15140.0,11203.6,0,0,0,0,1,1
5698577-70.2025.8.08.1458,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,23080.44,10155.3936,0,0,0,1,0,1
5875578-08.2025.8.24.1589,SC,Não reconhece operação,Golpe,Êxito,Extinção,11562.89,0.0,1,1,1,1,1,1
7289308-68.2025.8.24.5649,SC,Não reconhece operação,Golpe,Êxito,Improcedência,6625.43,0.0,1,1,0,1,1,1
6360469-05.2025.8.12.5840,MS,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,12256.5,3186.69,0,1,0,0,0,1
3025696-75.2025.8.12.3697,MS,Não reconhece operação,Golpe,Êxito,Improcedência,15466.28,0.0,0,0,1,0,1,1
4779135-75.2025.8.04.8734,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,18073.42,15181.672799999998,0,0,0,1,0,1
9979804-59.2025.8.01.0936,AC,Não reconhece operação,Golpe,Não Êxito,Procedência,9741.52,8669.952800000001,0,1,0,0,0,0
3346377-83.2025.8.22.6550,RO,Não reconhece operação,Genérico,Êxito,Extinção,8267.37,0.0,1,1,1,1,1,0
3710788-80.2025.8.17.0435,PE,Não reconhece operação,Genérico,Êxito,Extinção,11323.28,0.0,1,1,0,0,1,1
8681272-40.2025.8.19.6236,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13974.93,9782.451,1,0,1,1,1,1
7749639-54.2025.8.19.0980,RJ,Não reconhece operação,Genérico,Êxito,Extinção,7319.17,0.0,1,1,0,1,1,1
2914505-82.2025.8.14.5327,PA,Não reconhece operação,Golpe,Êxito,Improcedência,20806.24,0.0,1,1,0,1,1,1
8912303-13.2025.8.08.8035,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,15589.73,13095.3732,0,1,1,0,1,1
3494342-11.2025.8.19.6210,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,17335.02,0.0,0,1,1,1,0,1
2486194-45.2025.8.27.7366,TO,Não reconhece operação,Golpe,Êxito,Improcedência,5075.51,0.0,0,1,1,1,1,0
3707334-18.2025.8.06.7678,CE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,14266.81,8560.086,0,1,0,1,0,1
3460034-88.2025.8.07.2225,DF,Não reconhece operação,Golpe,Êxito,Extinção,3511.5,0.0,1,1,1,0,1,0
2055994-38.2025.8.09.2469,GO,Não reconhece operação,Golpe,Êxito,Improcedência,6331.4,0.0,1,1,0,0,1,0
8232166-82.2025.8.02.9101,AL,Não reconhece operação,Golpe,Êxito,Extinção,20731.34,0.0,1,1,0,0,1,1
8878756-19.2025.8.17.4733,PE,Não reconhece operação,Genérico,Êxito,Improcedência,9950.36,0.0,1,1,1,1,1,1
7360953-03.2025.8.25.8020,SE,Não reconhece operação,Golpe,Êxito,Improcedência,6570.48,0.0,1,1,0,1,1,1
4541504-59.2025.8.15.9914,PB,Não reconhece operação,Golpe,Não Êxito,Procedência,19538.48,16412.3232,1,0,1,1,1,1
8655594-53.2025.8.13.7397,MG,Não reconhece operação,Genérico,Êxito,Improcedência,12330.37,0.0,1,1,0,1,1,1
3155526-22.2025.8.04.5370,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9883.72,8203.487599999999,0,0,1,1,1,1
4318173-33.2025.8.01.0806,AC,Não reconhece operação,Golpe,Êxito,Improcedência,13271.69,0.0,1,0,0,1,0,1
3523323-44.2025.8.01.3271,AC,Não reconhece operação,Golpe,Não Êxito,Acordo,16174.39,4043.5975,0,0,1,1,1,1
7839107-64.2025.8.27.4610,TO,Não reconhece operação,Golpe,Êxito,Extinção,16441.14,0.0,1,1,0,1,0,1
3324395-46.2025.8.08.3112,ES,Não reconhece operação,Golpe,Êxito,Extinção,8828.39,0.0,1,1,1,0,1,1
3683316-74.2025.8.10.9966,MA,Não reconhece operação,Golpe,Êxito,Extinção,10417.67,0.0,1,1,0,0,1,1
5215419-41.2025.8.12.5762,MS,Não reconhece operação,Genérico,Êxito,Extinção,17821.06,0.0,1,1,1,0,1,1
1000627-80.2025.8.25.8326,SE,Não reconhece operação,Genérico,Êxito,Improcedência,18134.76,0.0,1,1,1,1,1,1
6829928-90.2025.8.10.0743,MA,Não reconhece operação,Golpe,Êxito,Extinção,14800.02,0.0,0,1,1,1,1,1
3204110-57.2025.8.26.8730,SP,Não reconhece operação,Golpe,Êxito,Improcedência,13190.39,0.0,1,1,1,1,1,1
1796540-87.2025.8.26.0300,SP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9148.75,5397.7625,0,1,0,1,1,1
7440857-92.2025.8.10.2256,MA,Não reconhece operação,Genérico,Êxito,Extinção,23958.79,0.0,1,1,1,1,0,1
2093480-75.2025.8.17.2191,PE,Não reconhece operação,Genérico,Êxito,Improcedência,18224.28,0.0,1,1,1,1,1,1
7497486-70.2025.8.05.4979,BA,Não reconhece operação,Golpe,Êxito,Improcedência,10070.35,0.0,1,1,1,1,1,1
2490606-17.2025.8.07.1048,DF,Não reconhece operação,Golpe,Êxito,Extinção,12158.66,0.0,1,1,0,1,0,0
2152144-73.2025.8.21.3737,RS,Não reconhece operação,Genérico,Êxito,Improcedência,19193.82,0.0,0,1,1,1,1,1
2069748-95.2025.8.22.1468,RO,Não reconhece operação,Genérico,Êxito,Improcedência,8278.17,0.0,1,1,1,0,1,0
4879971-93.2025.8.26.1211,SP,Não reconhece operação,Golpe,Êxito,Improcedência,9626.45,0.0,1,1,1,1,0,1
5192237-25.2025.8.01.3447,AC,Não reconhece operação,Golpe,Êxito,Extinção,15289.7,0.0,1,1,1,0,1,1
4194052-52.2025.8.21.1201,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,9542.07,5629.8213,0,0,1,0,1,1
9962669-86.2025.8.08.3157,ES,Não reconhece operação,Golpe,Êxito,Extinção,17776.36,0.0,1,1,1,0,0,1
7686949-88.2025.8.21.6673,RS,Não reconhece operação,Golpe,Êxito,Improcedência,9710.38,0.0,1,1,1,0,1,0
5476474-98.2025.8.15.7469,PB,Não reconhece operação,Golpe,Não Êxito,Procedência,1009.19,958.7305,1,1,1,1,1,1
7489198-66.2025.8.06.9711,CE,Não reconhece operação,Golpe,Êxito,Improcedência,13196.61,0.0,1,1,1,0,1,0
4138882-07.2025.8.15.3404,PB,Não reconhece operação,Golpe,Êxito,Improcedência,11134.4,0.0,1,1,1,1,1,1
2533939-67.2025.8.04.1991,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,22793.4,20969.928000000004,0,0,0,1,0,0
7131244-61.2025.8.24.0523,SC,Não reconhece operação,Genérico,Não Êxito,Procedência,17387.88,15996.849600000001,0,0,1,1,1,1
6089830-16.2025.8.25.8255,SE,Não reconhece operação,Genérico,Êxito,Improcedência,16892.86,0.0,0,1,0,1,1,1
4267693-64.2025.8.20.7671,RN,Não reconhece operação,Golpe,Êxito,Improcedência,13128.75,0.0,1,1,1,0,1,1
1346644-52.2025.8.08.3726,ES,Não reconhece operação,Golpe,Êxito,Improcedência,16102.57,0.0,1,1,0,0,1,1
6024253-32.2025.8.21.4785,RS,Não reconhece operação,Genérico,Êxito,Improcedência,7997.53,0.0,1,1,0,1,1,1
9826307-36.2025.8.14.3187,PA,Não reconhece operação,Genérico,Êxito,Improcedência,13146.54,0.0,1,1,1,1,1,1
9077202-06.2025.8.14.6782,PA,Não reconhece operação,Golpe,Êxito,Extinção,12098.09,0.0,1,1,1,1,1,1
5534922-37.2025.8.04.8613,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,18778.64,18215.2808,0,1,0,0,1,1
3099107-95.2025.8.06.6891,CE,Não reconhece operação,Golpe,Êxito,Improcedência,18968.67,0.0,1,1,0,0,1,1
5440793-44.2025.8.02.9714,AL,Não reconhece operação,Genérico,Êxito,Improcedência,18714.69,0.0,1,1,0,1,1,1
2482679-82.2025.8.25.0356,SE,Não reconhece operação,Golpe,Êxito,Improcedência,11426.23,0.0,1,1,0,0,1,1
9657595-33.2025.8.16.3612,PR,Não reconhece operação,Genérico,Êxito,Extinção,7582.3,0.0,1,1,1,0,1,1
7617314-59.2025.8.02.0626,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,4082.98,3633.8522000000003,0,1,0,1,0,1
1333442-62.2025.8.27.8611,TO,Não reconhece operação,Genérico,Êxito,Extinção,11051.92,0.0,1,1,1,0,0,1
5994116-13.2025.8.10.8994,MA,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,15694.69,7690.3981,0,1,0,0,1,1
7589375-07.2025.8.27.6171,TO,Não reconhece operação,Genérico,Êxito,Improcedência,14567.75,0.0,1,1,0,1,1,1
6549232-21.2025.8.10.4746,MA,Não reconhece operação,Golpe,Êxito,Extinção,15450.32,0.0,1,1,1,1,1,1
5410284-07.2025.8.24.4364,SC,Não reconhece operação,Golpe,Êxito,Extinção,8113.44,0.0,1,1,1,1,1,0
9882044-67.2025.8.25.1136,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,17358.11,12150.677,0,0,1,0,1,1
1286075-39.2025.8.20.6958,RN,Não reconhece operação,Golpe,Não Êxito,Procedência,12951.91,11656.719000000001,0,1,0,1,1,1
9152602-13.2025.8.22.2847,RO,Não reconhece operação,Golpe,Êxito,Improcedência,9637.48,0.0,1,1,1,0,1,0
2508514-11.2025.8.06.4070,CE,Não reconhece operação,Golpe,Êxito,Improcedência,7601.46,0.0,1,0,1,0,1,0
4072657-57.2025.8.24.0026,SC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,14356.54,8757.4894,0,0,1,1,0,1
1502932-71.2025.8.01.7554,AC,Não reconhece operação,Genérico,Êxito,Improcedência,27475.22,0.0,1,1,1,1,1,0
4830871-33.2025.8.21.5004,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,10663.16,8637.1596,0,1,1,1,1,1
7568497-11.2025.8.21.2580,RS,Não reconhece operação,Golpe,Êxito,Improcedência,11026.55,0.0,1,1,1,1,1,1
5500618-81.2025.8.08.0051,ES,Não reconhece operação,Golpe,Êxito,Improcedência,25946.64,0.0,1,1,1,0,1,0
4855930-30.2025.8.18.2116,PI,Não reconhece operação,Golpe,Não Êxito,Procedência,13556.49,13014.230399999999,0,0,0,0,0,1
3788029-31.2025.8.03.6270,AP,Não reconhece operação,Genérico,Êxito,Extinção,10850.24,0.0,1,1,1,1,0,0
8940575-71.2025.8.25.2292,SE,Não reconhece operação,Golpe,Êxito,Improcedência,17705.85,0.0,1,1,1,0,1,1
5925593-90.2025.8.03.0763,AP,Não reconhece operação,Golpe,Êxito,Improcedência,13503.29,0.0,1,1,1,1,1,1
5790480-11.2025.8.13.1455,MG,Não reconhece operação,Genérico,Êxito,Improcedência,20238.5,0.0,1,1,0,1,1,1
8571526-17.2025.8.19.4732,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,14369.89,0.0,1,1,1,1,1,1
9039050-66.2025.8.21.7602,RS,Não reconhece operação,Genérico,Êxito,Improcedência,12631.89,0.0,1,1,1,1,1,0
5624764-22.2025.8.08.3035,ES,Não reconhece operação,Golpe,Êxito,Extinção,12950.15,0.0,1,1,1,1,1,1
9884576-20.2025.8.25.9035,SE,Não reconhece operação,Golpe,Êxito,Improcedência,17472.79,0.0,1,1,0,1,1,1
9298288-19.2025.8.21.3831,RS,Não reconhece operação,Golpe,Não Êxito,Procedência,18613.72,15635.524800000001,1,0,1,1,1,1
9059214-96.2025.8.20.5232,RN,Não reconhece operação,Golpe,Êxito,Improcedência,19711.62,0.0,1,1,1,1,1,1
5147551-04.2025.8.13.2255,MG,Não reconhece operação,Genérico,Êxito,Extinção,8305.51,0.0,1,1,1,1,1,0
6063851-84.2025.8.27.2141,TO,Não reconhece operação,Golpe,Êxito,Extinção,23558.11,0.0,1,1,0,1,1,0
6941756-88.2025.8.09.5907,GO,Não reconhece operação,Golpe,Não Êxito,Procedência,12402.16,9921.728000000001,0,1,0,1,1,1
2357240-02.2025.8.21.6596,RS,Não reconhece operação,Genérico,Êxito,Improcedência,19479.67,0.0,1,1,1,1,1,1
1014268-11.2025.8.04.5993,AM,Não reconhece operação,Genérico,Êxito,Extinção,13002.45,0.0,1,1,0,1,1,1
5647498-73.2025.8.20.1540,RN,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,22750.73,11147.8577,0,0,1,1,1,1
9144752-37.2025.8.25.7451,SE,Não reconhece operação,Genérico,Êxito,Improcedência,16515.01,0.0,1,1,1,0,1,1
2192990-61.2025.8.13.0558,MG,Não reconhece operação,Golpe,Êxito,Improcedência,21273.6,0.0,1,1,1,1,0,1
5485292-79.2025.8.19.5545,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,13000.85,5200.34,0,1,0,1,0,0
5746479-43.2025.8.08.8647,ES,Não reconhece operação,Genérico,Êxito,Improcedência,7880.57,0.0,0,0,1,1,1,0
2471277-07.2025.8.21.8928,RS,Não reconhece operação,Golpe,Êxito,Improcedência,4989.68,0.0,1,1,1,1,1,1
1591164-80.2025.8.25.0828,SE,Não reconhece operação,Golpe,Êxito,Improcedência,8666.19,0.0,1,1,0,1,1,1
1110710-48.2025.8.10.4317,MA,Não reconhece operação,Golpe,Êxito,Improcedência,24239.94,0.0,1,1,0,1,1,0
4538741-58.2025.8.05.9486,BA,Não reconhece operação,Genérico,Êxito,Improcedência,17221.9,0.0,0,1,1,1,1,1
5235962-65.2025.8.06.4106,CE,Não reconhece operação,Golpe,Êxito,Extinção,15792.61,0.0,1,1,0,1,1,1
2124924-89.2025.8.05.2583,BA,Não reconhece operação,Golpe,Êxito,Improcedência,17093.96,0.0,1,1,0,1,0,1
5629996-09.2025.8.16.4392,PR,Não reconhece operação,Golpe,Êxito,Improcedência,13623.26,0.0,1,1,1,1,1,1
6019306-96.2025.8.22.3723,RO,Não reconhece operação,Genérico,Êxito,Improcedência,16151.84,0.0,1,1,1,1,1,1
1306497-16.2025.8.10.2597,MA,Não reconhece operação,Genérico,Êxito,Improcedência,7663.91,0.0,1,1,1,1,0,1
3885458-31.2025.8.21.0109,RS,Não reconhece operação,Golpe,Êxito,Extinção,9292.32,0.0,1,1,1,1,1,1
7031367-94.2025.8.02.3731,AL,Não reconhece operação,Golpe,Não Êxito,Procedência,15069.23,14466.460799999999,0,0,1,0,1,1
1231772-67.2025.8.21.7977,RS,Não reconhece operação,Golpe,Êxito,Improcedência,10274.18,0.0,1,1,1,1,1,1
9866129-02.2025.8.04.0435,AM,Não reconhece operação,Genérico,Êxito,Improcedência,15106.64,0.0,0,1,0,0,1,1
4253763-73.2025.8.24.9293,SC,Não reconhece operação,Golpe,Não Êxito,Procedência,8134.38,6588.8478000000005,0,0,0,1,0,1
5920290-84.2025.8.08.7965,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,12099.52,8832.6496,0,1,0,0,1,0
6266897-65.2025.8.08.6085,ES,Não reconhece operação,Golpe,Êxito,Improcedência,15144.91,0.0,1,1,0,0,1,1
5287618-71.2025.8.05.3250,BA,Não reconhece operação,Golpe,Êxito,Improcedência,17308.3,0.0,1,1,1,1,1,1
8176923-88.2025.8.03.4927,AP,Não reconhece operação,Genérico,Êxito,Extinção,12310.82,0.0,1,1,0,1,1,1
6399364-79.2025.8.18.4347,PI,Não reconhece operação,Golpe,Êxito,Extinção,23801.31,0.0,0,1,1,1,0,1
8728689-36.2025.8.03.6501,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,15881.31,13181.487299999999,0,1,0,0,0,1
2656227-14.2025.8.17.2882,PE,Não reconhece operação,Genérico,Êxito,Extinção,20542.44,0.0,1,0,0,0,1,0
5061108-27.2025.8.21.1384,RS,Não reconhece operação,Genérico,Êxito,Improcedência,13514.34,0.0,1,0,0,1,1,1
8673750-52.2025.8.15.8600,PB,Não reconhece operação,Genérico,Êxito,Extinção,19126.69,0.0,1,1,1,1,1,1
